MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Feroze Varun Gandhi,Elected,18-May-14,In office,Second,External Affairs,Uttar Pradesh,Sultanpur,Bharatiya Janata Party,Male,Graduate,"B.Sc. (Economics); educated at London School of Economics (LSE), London University, UK.",37,15,9,320,80%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
G. Hari,Elected,18-May-14,In office,First,Industry,Tamil Nadu,Arakkonam,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A., B.L.",56,39,0,347,89%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
Gajanan Chandrakant Kirtikar,Elected,18-May-14,In office,First,Railways ,Maharashtra,Mumbai-North-West,Shiv Sena,Male,Graduate,B.A. (Ecomomics),73,53,0,618,79%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Gajendrasingh Shekhawat,Elected,18-May-14,In office,First,Finance,Rajasthan,Jodhpur,Bharatiya Janata Party,Male,Post Graduate,P.G.,49,261,2,271,89%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,101.1,3,254,89%
Ganesh Singh,Elected,18-May-14,In office,Third,Railways ,Madhya Pradesh,Satna,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B.; Educated at Awadesh Pratap Singh University,; Rewa and Law College, Satna, Madhya Pradesh",54,85,0,271,85%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
George Baker,Nominated,10-Aug-15,In office,First,Chemicals & Fertilizers,,,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Senior Cambridge,70,13,0,53,97%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),26,0.8,94,81%,47.8,2,95,97%
Giriraj Singh,Elected,18-May-14,In office,First,No,Bihar,Nawada,Bharatiya Janata Party,Male,Graduate,Graduate,64,0,0,5,85%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 14th Aug, 2014. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",5.1,0.1,18,81%,7.4,0.3,17,87%
Godam Nagesh,Elected,18-May-14,In office,First,Coal & Steel,Telangana,Adilabad,Telangana Rashtra Samithi,Male,Post Graduate,"M.A., M.Ed.(O.U)",52,4,0,0,85%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.8,1,194,71%
Godse Hemant Tukaram,Elected,18-May-14,In office,First,Information Technology,Maharashtra,Nashik,Shiv Sena,Male,Diploma Course,Diploma in Civil Engineering,46,26,0,287,84%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Gokaraju Ganga Raju,Elected,18-May-14,In office,First,Rural Development ,Andhra Pradesh,Narsapuram,Bharatiya Janata Party,Male,Graduate,B.Pharma,72,2,0,166,85%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.6,0.5,167,76%
Gopal Chinayya Shetty,Elected,18-May-14,In office,First,Finance,Maharashtra,Mumbai-North,Bharatiya Janata Party,Male,Under Matric,Non-Matric,63,61,22,289,100%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Gourav Gogoi,Elected,18-May-14,In office,First,Railways ,Assam,Kaliabor,Indian National Congress,Male,Post Graduate,Post Graduate,34,60,1,168,81%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,33.7,0.2,97,74%
Gowdar Mallikarjunappa Siddeswara,Elected,18-May-14,In office,Third,Railways ,Karnataka,Davanagere,Bharatiya Janata Party,Male,Matric,"Educated at Bheemeshwara Rural Educational Society, Bheemasamudra (Karnataka) ",64,1,0,52,83%,"This MP was a minister till 4 Jul, 2016. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Participation and attendance deta (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",10.3,0.4,44,81%,6.9,0.2,54,84%
Gyan Singh,Elected,25-Nov-16,In office,First,Health and Family Welfare,Madhya Pradesh,Shahdol,Bharatiya Janata Party,Male,Under Matric,7th Pass Government Secondary School in 1966,64,0,0,0,6%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),3.5,0.2,19,81%,6.4,0.1,21,82%
H.D. Devegowda,Elected,18-May-14,In office,Sixth,Defence,Karnataka,Hassan,Janata Dal (Secular),Male,Diploma Course,"D.C.E.; Educated at Government High School, Holenarsipura and Smt.L.V. Polytechnic, Hassan, Karnataka",83,14,0,0,56%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
Hansraj Gangaram Ahir,Elected,18-May-14,In office,Fourth,No,Maharashtra,Chandrapur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"S.S.C.; Educated at L.T.Y. School, Chandrapur, Maharashtra",62,10,4,115,91%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 14th Aug, 2014. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",5.1,0.1,18,81%,4.5,0.2,37,79%
Hari Manjhi,Elected,18-May-14,In office,Second,Labour ,Bihar,Gaya,Bharatiya Janata Party,Male,Under Matric,Under Matriculate,54,12,0,115,98%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Hari Om Pandey,Elected,18-May-14,In office,First,Human Resource Development,Uttar Pradesh,Ambedkar Nagar,Bharatiya Janata Party,Male,Post Graduate,"M.A., B.P.Ed. N.I.S.",60,1,0,77,91%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Haribansh Singh,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Uttar Pradesh,Pratapgarh,Apna Dal,Male,Graduate,B.Sc. (AG),66,16,0,605,91%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Haribhai Parthibhai Chaudhary,Elected,18-May-14,In office,Fourth,No,Gujarat,Banaskantha,Bharatiya Janata Party,Male,Graduate,"Educated at Mumbai University, Mumbai (Maharashtra)",62,7,0,12,97%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 14th Aug, 2014. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",5.1,0.1,18,81%,4.1,0.3,18,84%
Harinarayan Rajbhar,Elected,18-May-14,In office,First,"Science & Technology, Environment & Forests",Uttar Pradesh,Ghosi,Bharatiya Janata Party,Male,Under Matric,Information not available,76,26,1,69,97%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Harinder Singh Khalsa,Elected,18-May-14,In office,Second,Information Technology,Punjab,Fatehgarh Sahib,Aam Aadmi Party,Male,Post Graduate,M.A. (Eng.),69,1,0,29,80%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,32.6,0.5,79,66%
Hariom Singh Rathore,Elected,18-May-14,In office,First,Labour ,Rajasthan,Rajsamand,Bharatiya Janata Party,Male,Graduate,B.Com.,59,41,0,114,76%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,101.1,3,254,89%
Harish Chandra Alias Harish Dwivedi,Elected,18-May-14,In office,First,Energy and Information Technology ,Uttar Pradesh,Basti,Bharatiya Janata Party,Male,Post Graduate,Post Graduate,43,26,0,156,86%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Harish Chandra Meena,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",Rajasthan,Dausa,Bharatiya Janata Party,Male,Graduate,Graduate,62,54,1,178,98%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,101.1,3,254,89%
Harishchandra Deoram Chavan,Elected,18-May-14,In office,Third,Rural Development ,Maharashtra,Dindori,Bharatiya Janata Party,Male,Graduate,"B.A. (With English Special); Educated at K.G. Joshi College, Thane (Maharashtra) ",65,18,0,435,86%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Harsh Vardhan,Elected,18-May-14,In office,First,No,Delhi,Chandni Chowk,Bharatiya Janata Party,Male,Professional Graduate,M.B.B.S.,62,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harsimrat Kaur Badal,Elected,18-May-14,In office,Second,No,Punjab,Bathinda,Shiromani Akali Dal,Female,Graduate,Degree in Dress designing,50,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Heena Vaijaykumar Gavit,Elected,18-May-14,In office,First,Health and Family Welfare,Maharashtra,Nandurbar,Bharatiya Janata Party,Female,Professional Post Graduate,"M.B.B.S., M.D.",29,32,0,618,80%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Hema Malini,Elected,18-May-14,In office,First,Information Technology,Uttar Pradesh,Mathura,Bharatiya Janata Party,Female,Matric,"Matric Educated at Andhra Mahila Sabha, Chennai",68,11,0,131,36%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Hemendra Chandra Singh,Elected,18-May-14,05/09/2014,First,Defence,Odisha,Kandhamal,Biju Janata Dal,Male,Graduate,B.Com.,49,0,0,0,97%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),5.1,0.1,18,81%,4.6,0.3,15,83%
Hukamdeo Narayan Yadav,Elected,18-May-14,In office,Fifth,Agriculture,Bihar,Madhubani,Bharatiya Janata Party,Male,Graduate,"Graduate, Amanat (Land surveying); Educated at Chandradhari Mithila College, Darbhanga, Bihar",77,31,0,31,97%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Hukum Singh,Elected,18-May-14,In office,First,Water Resources ,Uttar Pradesh,Kairana,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B.",78,52,0,172,95%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Idris Ali,Elected,18-May-14,In office,First,"Personnel, Public Grievances, Law and Justice",West Bengal,Basirhat,All India Trinamool Congress,Male,Professional Graduate,"B.Sc., LLB",66,6,0,17,69%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Inderjit Singh Rao,Elected,18-May-14,In office,Fourth,No,Haryana,Gurgaon,Bharatiya Janata Party,Male,Professional Graduate,"B.A. (Hons), LL.B., Educated at University of Delhi, Delhi",67,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Innocent,Elected,18-May-14,In office,First,Chemicals & Fertilizers,Kerala,Chalakudy,Independent,Male,Under Matric,Under Matric,69,14,0,153,64%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,88.2,2.9,279,79%
J. Jayavardhan,Elected,18-May-14,In office,First,Information Technology,Tamil Nadu,Chennai South,All India Anna Dravida Munnetra Kazhagam,Male,Professional Post Graduate,"M.B.B.S., M.D. (General Medicine)",29,41,0,368,85%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
J. Jeyasingh Thiyagaraj Natterjee,Elected,18-May-14,In office,First,Health and Family Welfare,Tamil Nadu,Thoothukkudi,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A., B.L.",63,17,0,150,86%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
J.C. Divakar Reddi,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Andhra Pradesh,Anantapur,Telugu Desam Party,Male,Graduate,B.Sc.,73,4,1,217,79%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.6,0.5,167,76%
Jadhav Prataprao Ganpatrao,Elected,18-May-14,In office,Second,Home Affairs,Maharashtra,Buldhana,Shiv Sena,Male,Under Graduate,"B.A. - II; Educated at Shri Shivaji College, Chikhil, Buldana",56,36,0,377,72%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Jagdambika Pal,Elected,18-May-14,In office,Second,Energy,Uttar Pradesh,Domariyaganj,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Pol. Science, Modern History & Ancient History) & LL.B.; Educated at Awadh University, L.L.B., Gorakhpur University",66,158,11,253,97%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Jai Prakash Narayan Yadav,Elected,18-May-14,In office,Second,Agriculture,Bihar,Banka,Rashtriya Janata Dal,Male,Post Graduate,"M.A., LL.B. 
Educated at Patna University, Patna (Bihar)",62,127,2,116,85%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Janak Ram,Elected,18-May-14,In office,First,Commerce,Bihar,Gopalganj,Bharatiya Janata Party,Male,Post Graduate,M.A.,43,8,0,60,97%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Janardan Mishra,Elected,18-May-14,In office,First,Agriculture,Madhya Pradesh,Rewa,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B",60,24,0,44,92%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
Janardan Singh Sigriwal,Elected,18-May-14,In office,First,Coal & Steel,Bihar,Maharajganj,Bharatiya Janata Party,Male,Post Graduate,M.A.,58,59,8,277,94%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Jasvantsinh Sumanbhai Bhabhor,Elected,18-May-14,In office,First,No,Gujarat,Dahod,Bharatiya Janata Party,Male,Graduate,Information not available,48,11,0,138,90%,"This MP was appointed a minister in July 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th May, 2016. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",35,1,136,81%,22.6,1.5,124,84%
Jayadev Galla,Elected,18-May-14,In office,First,Commerce,Andhra Pradesh,Guntur,Telugu Desam Party,Male,Graduate,Graduate,50,83,5,333,87%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.6,0.5,167,76%
Jayant Sinha,Elected,18-May-14,In office,First,No,Jharkhand,Hazaribagh,Bharatiya Janata Party,Male,Professional Post Graduate,"Bachelor of Technology (IIT, Delhi), M.Sc. (University of Pennsylvania), M.B.A. (Harvard Business School)",53,2,0,9,97%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 14th Aug, 2014. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",5.1,0.1,18,81%,6.5,0.5,33,84%
Jayshreeben Kanubhai Patel,Elected,18-May-14,In office,Second,Petroleum & Natural Gas,Gujarat,Mehesana,Bharatiya Janata Party,Female,Matric,SSC,57,91,6,292,99%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,28.4,1.8,168,84%
Jhina Hikaka,Elected,18-May-14,In office,First,Social Justice & Empowerment ,Odisha,Koraput,Biju Janata Dal,Male,Post Graduate,"M.A., L.L.B.",41,7,0,10,76%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,39.4,2.6,150,83%
Jitendra Choudhury,Elected,18-May-14,In office,First,Commerce,Tripura,Tripura East,Communist Party of India (Marxist),Male,Inter/ Higher Secondary,Inter/Higher Secondary,58,75,0,192,85%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,90,2,189,82%
Jitendra Singh,Elected,18-May-14,In office,First,No,Jammu and Kashmir,Udhampur,Bharatiya Janata Party,Male,Professional Graduate,MBBS,60,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joice George,Elected,18-May-14,In office,First,"Personnel, Public Grievances, Law and Justice",Kerala,Idukki,Independent,Male,Post Graduate,"MSW, LL.B.",46,170,3,338,87%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,88.2,2.9,279,79%
Jose K. Mani,Elected,18-May-14,In office,Second,External Affairs,Kerala,Kottayam,Kerala Congress (M),Male,Post Graduate,"B.Com., M.B.A. (Marketing); Educated at Loyola College, Chennai and P.S.G. College of Technology, Coimbatore",51,76,0,267,74%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,88.2,2.9,279,79%
Jual @ Juel Oram,Elected,18-May-14,In office,Fourth,No,Odisha,Sundargarh,Bharatiya Janata Party,Male,others,"Diploma in Electrical Engineering 
Educated at U.G.I.E., Rourkela (Orissa)",55,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jugal Kishore,Elected,18-May-14,In office,First,Rural Development ,Jammu and Kashmir,Jammu,Bharatiya Janata Party,Male,Matric,Matriculation,54,57,0,128,86%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,19.1,0,46,51%
Jyoti Dhurve,Elected,18-May-14,In office,Second,Coal & Steel,Madhya Pradesh,Betul,Bharatiya Janata Party,Female,Post Graduate,"M.A. (Political Science), Educated at Durga Mahavidhyala Raipur, Chattisgarh",50,45,0,176,84%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
Jyotiraditya Madhavrao Scindia,Elected,18-May-14,In office,Fourth,Finance,Madhya Pradesh,Guna,Indian National Congress,Male,Post Graduate,"M.A., M.B.A.; Educated at Doon School, Dehradun, Harvard University (U.S.A.) and Stanford University, California (USA) ",46,36,0,544,81%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
K. Ashok Kumar,Elected,18-May-14,In office,First,Chemicals & Fertilizers,Tamil Nadu,Krisnagiri,All India Anna Dravida Munnetra Kazhagam,Male,Matric,Matric,63,61,0,241,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
K. C. Venugopal,Elected,18-May-14,In office,Second,"Transport, Tourism and Culture",Kerala,Alappuzha,Indian National Congress,Male,Post Graduate,M.Sc. (Mathematics); Educated at Calicut University,54,91,0,226,86%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,88.2,2.9,279,79%
K. Gopal,Elected,18-May-14,In office,First,"Science & Technology, Environment & Forests",Tamil Nadu,Nagapattinam,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"M.B.B.S.,",57,28,0,146,82%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
K. Kamaraj,Elected,18-May-14,In office,First,Health and Family Welfare,Tamil Nadu,Kallakurichi,All India Anna Dravida Munnetra Kazhagam,Male,Professional Post Graduate,M.S. (General Surgery),51,41,0,168,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
K. Maragatham,Elected,18-May-14,In office,First,Social Justice & Empowerment ,Tamil Nadu,Kancheepuram,All India Anna Dravida Munnetra Kazhagam,Female,Graduate,B. Com.,34,33,0,339,86%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
K. Parasuraman,Elected,18-May-14,In office,First,Urban Development,Tamil Nadu,Thanjavur,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,B.Sc.,56,72,0,391,76%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
K.C. Patel,Elected,18-May-14,In office,First,Information Technology,Gujarat,Valsad,Bharatiya Janata Party,Male,Professional Graduate,M.B.B.S.,67,1,0,0,80%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,28.4,1.8,168,84%
K.H. Muniyappa,Elected,18-May-14,In office,Seventh,Railways ,Karnataka,Kolar,Indian National Congress,Male,Professional Graduate,"B.A., LL.B.; Educated at Bangalore University (Karnataka) ",69,17,0,0,83%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
K.N. Ramachandran,Elected,18-May-14,In office,First,Human Resource Development,Tamil Nadu,Sriperumbudur,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,M.A.,61,20,0,303,78%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
K.R.P.  Prabakaran,Elected,18-May-14,In office,First,Commerce,Tamil Nadu,Tirunelveli,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"B.A., B.L.",36,12,0,75,86%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
K.V. Thomas,Elected,18-May-14,In office,Fifth,Urban Development,Kerala,Ernakulam,Indian National Congress,Male,Post Graduate,"M.Sc. (Chemistry); Educated at Scared Heart College, Cochin, Kerala",70,23,0,188,74%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,88.2,2.9,279,79%
Kadiyam Srihari,Elected,18-May-14,11/06/2015,First,Agriculture,Telangana,Warangal,Telangana Rashtra Samithi,Male,Post Graduate,M.Sc.,66,5,0,0,48%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),17.9,0.5,70,81%,13.8,0,78,71%
Kakoli Ghosh Dastidar,Elected,18-May-14,In office,Second,Home Affairs,West Bengal,Barasat,All India Trinamool Congress,Female,Professional Post Graduate,"M.B.B.S., Post Graduate Training in Obstetric Ultrasound; Educated at Auxilium Convent, Loreto House, R. G. Kar Medical College, King's College, London",57,13,1,9,61%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Kalikesh Narayan Singh Deo,Elected,18-May-14,In office,Second,Petroleum & Natural Gas,Odisha,Bolangir,Biju Janata Dal,Male,Graduate,"B.A. (Hons.) Economics; Educated at St. Stepen`s College, Delhi University",42,15,3,349,82%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,39.4,2.6,150,83%
Kalraj Mishra,Elected,18-May-14,In office,First,No,Uttar Pradesh,Deoria,Bharatiya Janata Party,Male,Post Graduate,"M.A. Educated at Kashi Vidyapith, Varanasi",75,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
