MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Govind Prasad Mishra,Elected,18-May-09,In office,Madhya Pradesh,Sidhi,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B. & D.C.E.; Educated at A.P.S. University, Reva (Madhya Pradesh) and; Samrat Ashok Technical Institute, Vidisha, Madhya Pradesh",64,41,0,176,95%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%
Gowdar Mallikarjunappa Siddeswara,Elected,18-May-09,In office,Karnataka,Davanagere,Bharatiya Janata Party,Male,Matric,"Educated at Bheemeshwara Rural Educational Society, Bheemasamudra (Karnataka) ",61,15,0,888,57%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%
Gurudas Dasgupta,Elected,18-May-09,In office,West Bengal,Ghatal,Communist Party of India,Male,Post Graduate,"M. Com; Educated at Asutosh College, Calcutta and; University College of Arts & Commerce, Calcutta",77,94,0,505,88%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Gurudas Kamat,Elected,18-May-09,In office,Maharashtra,Mumbai-North-West,Indian National Congress,Male,Post Graduate,"B.Com., LL.B., M.B.A.; Educated at R.A. Podar College of Commerce and Economics and Government Law College, Mumbai, Maharashtra",59,0,0,0,87%,"This MP was a Minister. He tendered his resignation on 28th Oct, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 29th Oct, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",9.1,0.2,85,76%,7.5,0.5,146,74%
H.D. Devegowda,Elected,18-May-09,In office,Karnataka,Hassan,Janata Dal (Secular),Male,Diploma Course,"D.C.E.; Educated at Government High School, Holenarsipura and Smt.L.V. Polytechnic, Hassan, Karnataka",80,28,0,0,59%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%
H.D. Kumaraswamy,Elected,18-May-09,5/21/2013,Karnataka,Bangalore Rural,Janata Dal (Secular),Male,Graduate,B.Sc.,54,2,0,0,32%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),33.6,0.8,265,76%,17.5,0.2,304,68%
Hamdullah Sayeed,Elected,18-May-09,In office,Lakshadweep,Lakshadweep,Indian National Congress,Male,Graduate,"B.Sc., LL.B.; Educated at Indian Law Society, Pune",31,36,2,631,78%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,36,2,631,78%
Hansraj Gangaram Ahir,Elected,18-May-09,In office,Maharashtra,Chandrapur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"S.S.C.; Educated at L.T.Y. School, Chandrapur, Maharashtra",59,114,31,1005,72%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Hari Manjhi,Elected,18-May-09,In office,Bihar,Gaya,Bharatiya Janata Party,Male,Under Matric,,51,18,0,128,94%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Haribhai Parthibhai Chaudhary,Elected,5-Aug-13,In office,Gujarat,Banaskantha,Bharatiya Janata Party,Male,Post Graduate,"Educated at Mumbai University, Mumbai (Maharashtra)",59,4,0,33,88%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),4.3,0,35,76%,5.9,0,44,76%
Haribhau Madhav Jawale,Elected,18-May-09,In office,Maharashtra,Raver,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Educated at M.J. College, Jalgaon, Maharashtra",60,53,1,404,81%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Harin Pathak,Elected,18-May-09,In office,Gujarat,Ahmedabad East,Bharatiya Janata Party,Male,Graduate,"B.A., B.Ed.; Educated at Gujarat University, Ahmedabad (Gujarat) ",66,34,0,374,83%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%
Harischandra Deoram Chavan,Elected,18-May-09,In office,Maharashtra,Dindori,Bharatiya Janata Party,Male,Graduate,"B.A. (With English Special); Educated at K.G. Joshi College, Thane (Maharashtra) ",62,8,0,791,79%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Harish Choudhary,Elected,18-May-09,In office,Rajasthan,Barmer,Indian National Congress,Male,Post Graduate,"M.A. (Economics); Educated at Jai Narayanvyas University, Jodhpur, Rajasthan",43,54,0,648,88%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,51.5,1,304,88%
Harish Rawat,Elected,18-May-09,In office,Uttarakhand,Hardwar,Indian National Congress,Male,Graduate,"B.A., LL.B; Educated at Lucknow University, Uttar Pradesh",65,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harsh Vardhan,Elected,18-May-09,In office,Uttar Pradesh,Maharajganj,Indian National Congress,Male,Graduate,"B.A.; Educated at Lucknow University , Uttar Pradesh",66,54,0,448,77%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Harsimrat Kaur Badal,Elected,18-May-09,In office,Punjab,Bathinda,Shiromani Akali Dal,Female,Graduate,Degree in Dress designing,47,34,0,276,78%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,23.8,0.7,170,78%
Hassan Khan,Elected,18-May-09,In office,Jammu and Kashmir,Ladakh,Independent,Male,Graduate,"B.A.; Educated at Kashmir University, Srinagar, Jammu & Kashmir",74,16,0,54,91%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,44.4,0,96,88%
Hemanand Biswal,Elected,18-May-09,In office,Orissa,Sundargarh,Indian National Congress,Male,Inter/ Higher Secondary,,74,14,0,339,87%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%
Hukamdeo Narayan Yadav,Elected,18-May-09,In office,Bihar,Madhubani,Bharatiya Janata Party,Male,Graduate,"Graduate, Amanat (Land surveying); Educated at Chandradhari Mithila College, Darbhanga, Bihar",74,82,0,304,95%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Ijyaraj Singh,Elected,18-May-09,In office,Rajasthan,Kota,Indian National Congress,Male,Post Graduate,"MBA (Marketing), B.Sc. (Computer Science); Educated at Columbia Business School, Columbia University, New York, U.S.A. and Brown University Providence, Rhode Island, U.S.A.",49,48,0,519,88%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,51.5,1,304,88%
Inder Singh Namdhari,Elected,18-May-09,In office,Jharkhand,Chatra,Independent,Male,Graduate,"B.E. (Telecommunication); Educated at BIT, Sindri, Jharkhand",71,21,2,182,92%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,38.8,0.8,251,66%
Inderjit Singh Rao,Elected,18-May-09,In office,Haryana,Gurgaon,Indian National Congress,Male,Graduate,"B.A. (Hons), LL.B., Educated at University of Delhi, Delhi",64,2,0,10,80%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.1,0.1,231,69%
Ingrid Mcleod,Nominated,18-Sep-09,In office,,,Independent,Female,Graduate,"Educated at Guru Ghasidas University, Bilaspur, Chhattisgarh",46,6,0,130,83%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),34.3,0.7,285,76%,43,0,160,90%
Ismail Hussain,Elected,18-May-09,In office,Assam,Barpeta,Indian National Congress,Male,Post Graduate,"M.A.; Educated at B.H. College, Howli, Barpeta, Assam and Gauwhati University, Assam",63,0,0,0,94%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,22.1,0.5,83,80%
J. Shantha,Elected,18-May-09,In office,Karnataka,Bellary,Bharatiya Janata Party,Female,Inter/ Higher Secondary,,40,12,0,516,55%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%
J.M. Aaron Rashid,Elected,18-May-09,In office,Tamil Nadu,Theni,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at Sir Thiyagaraja College, Washermanpet, Chennai , Tamil Nadu",63,61,0,376,68%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
Jadhav Baliram Sukur,Elected,18-May-09,In office,Maharashtra,Palghar,Bahujan Vikas Aaghadi,Male,Under Matric,,57,16,0,316,94%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Jadhav Prataprao Ganpatrao,Elected,18-May-09,In office,Maharashtra,Buldhana,Shiv Sena,Male,Under Graduate,"B.A. - II; Educated at Shri Shivaji College, Chikhil, Buldana",53,19,0,511,64%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Jagada Nand Singh,Elected,18-May-09,In office,Bihar,Buxar,Rashtriya Janata Dal,Male,Graduate,"B.Sc., LL.B.; Educated at Banaras Hindu University and Harish Chandra P.G. College, Varanasi",71,83,0,464,95%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Jagdambika Pal,Elected,18-May-09,In office,Uttar Pradesh,Domariyaganj,Indian National Congress,Male,Post Graduate,"M.A. (Pol. Science, Modern History & Ancient History) & LL.B.; Educated at Awadh University, L.L.B., Gorakhpur University",63,191,4,223,92%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Jagdish Sharma,Elected,18-May-09,9/30/2013,Bihar,Jahanabad,Janata Dal (United),Male,Graduate,"B.Vsc. & A.H., L.L.B.; Educated at Magadh University and Rajendra Agricultural University Pussa (Bihar) ",63,28,0,439,85%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),36.5,0.8,281,76%,43.5,0.7,311,87%
Jagdish Singh Rana,Elected,18-May-09,In office,Uttar Pradesh,Saharanpur,Bahujan Samaj Party,Male,Graduate,"B.A.; Educated at J.V. Jain College, Saharanpur, Uttar Pradesh",59,15,0,236,87%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Jagdish Thakor,Elected,18-May-09,In office,Gujarat,Patan,Indian National Congress,Male,Matric,"Educated at N.S. Vidyalaya, Naroda, Gujarat",56,17,0,306,59%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%
Jai Prakash Agarwal,Elected,18-May-09,In office,Delhi,North East Delhi,Indian National Congress,Male,Graduate,"B.A.; Educated at Hansraj College, Delhi",69,85,23,898,98%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,32,5.6,296,84%
Jainarain Prasad Nishad,Elected,18-May-09,In office,Bihar,Muzaffarpur,Janata Dal (United),Male,Inter/ Higher Secondary,"Educated at Madhya Pradesh Education Board, Bhopal (Madhya Pradesh) ",83,8,0,115,80%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Jaipal Sudini Reddy,Elected,18-May-09,In office,Andhra Pradesh,Chelvella,Indian National Congress,Male,Post Graduate,"M.A. (English), B.J.; Educated at Osmania University, Hyderabad, Andhra Pradesh",72,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Janardhana Swamy,Elected,18-May-09,In office,Karnataka,Chitradurga,Bharatiya Janata Party,Male,Post Graduate,"M.E. (Electrical Communication Engineering); Educated at Indian Institute of Science (IISc), Bangalore, Karnataka",45,5,0,5,59%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%
Jaswant Singh,Elected,18-May-09,In office,West Bengal,Darjeeling,Bharatiya Janata Party,Male,Graduate,"B.A., B.Sc.; Educated at Mayo College, Ajmer, Joint Services Wing, Clement Town, Dehradun. N.D.A. Khadakvasla and Indian Military Academy, Dehradun",76,18,0,0,78%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Jayant Chaudhary,Elected,18-May-09,In office,Uttar Pradesh,Mathura,Rashtriya Lok Dal,Male,Post Graduate,"M.Sc., Accounts and Finance; Educated at Landon School of Economics and Political Science",35,45,2,180,83%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Jayaram Pangi,Elected,18-May-09,In office,Orissa,Koraput,Biju Janata Dal,Male,Inter/ Higher Secondary,"Educated at Govt. TRW High School, Sunabeda - 1, Orissa; Hal, Sunabeda",58,4,0,227,65%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%
Jayshreeben Kanubhai Patel,Elected,18-May-09,In office,Gujarat,Mehesana,Bharatiya Janata Party,Female,Matric,,54,132,1,515,84%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%
Jeetendra Singh Bundela,Elected,18-May-09,In office,Madhya Pradesh,Khajuraho,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B; Maharaja Mahavidyalya Chhattarpur, Madhya Pradesh and Motilal Vidhi Mahavidyalaya Chattarpur, Madhya Pradesh",55,58,0,392,89%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%
Jhansi Botcha Lakshmi,Elected,18-May-09,In office,Andhra Pradesh,Vizianagaram,Indian National Congress,Female,Doctorate,"M.A. (Philosophy), Ph.D.",49,146,2,377,88%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
Jitender Singh Malik,Elected,18-May-09,In office,Haryana,Sonipat,Indian National Congress,Male,Graduate,"B.A., LL.B.",44,12,0,64,74%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.1,0.1,231,69%
Jitendra Singh,Elected,18-May-09,In office,Rajasthan,Alwar,Indian National Congress,Male,Graduate,"B.Com; Educated at Delhi University & Wynberg Allan, Mussoorie",42,0,0,0,77%,"This MP was appointed a minister in Jul, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",15.9,0.4,119,76%,17.5,0.5,106,88%
Jitin Prasada,Elected,18-May-09,In office,Uttar Pradesh,Dhaurahra,Indian National Congress,Male,Post Graduate,"M.B.A.; Educated at Sri Ram College of Commerce, Delhi and IMI, Delhi",40,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jose K. Mani,Elected,18-May-09,In office,Kerala,Kottayam,Kerala Congress (M),Male,Post Graduate,"B.Com., M.B.A. (Marketing); Educated at Loyola College, Chennai and P.S.G. College of Technology, Coimbatore",48,65,0,574,84%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%
Joseph Toppo,Elected,18-May-09,In office,Assam,Tezpur,Asom Gana Parishad,Male,Inter/ Higher Secondary,"H.S.L.C., Diploma in Automobile Engineering; Educated at Don Bosco Technical School Maligaon, Guwahati",59,21,0,147,76%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,22.1,0.5,83,80%
Jyoti Dhurve,Elected,18-May-09,In office,Madhya Pradesh,Betul,Bharatiya Janata Party,Female,Post Graduate,"M.A. (Political Science), Educated at Durga Mahavidhyala Raipur, Chattisgarh",47,74,0,373,83%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%
Jyoti Mirdha,Elected,18-May-09,In office,Rajasthan,Nagaur,Indian National Congress,Female,Graduate,"M.B.B.S.; Educated at SMS Medical College, Jaipur (Rajasthan) ",41,26,0,58,93%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,51.5,1,304,88%
Jyotiraditya Madhavrao Scindia,Elected,18-May-09,In office,Madhya Pradesh,Guna,Indian National Congress,Male,Post Graduate,"M.A., M.B.A.; Educated at Doon School, Dehradun, Harvard University (U.S.A.) and Stanford University, California (USA) ",43,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
K. C. Venugopal,Elected,18-May-09,In office,Kerala,Alappuzha,Indian National Congress,Male,Post Graduate,M.Sc. (Mathematics); Educated at Calicut University,51,39,0,235,84%,"This MP was appointed a minister in Jan, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 13th Dec, 2010. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",12.5,0.3,103,76%,24.6,0.3,157,79%
K. D. Deshmukh,Elected,18-May-09,12/12/2013,Madhya Pradesh,Balaghat,Bharatiya Janata Party,Male,Graduate,"B.Sc., LL.B.; Educated at Govt. J.S.T. College, Balaghat",65,58,0,191,61%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),36.6,0.8,287,76%,44.8,0.4,227,82%
K. Jayaprakash Hegde,Elected,27-Mar-12,In office,Karnataka,Udupi Chikmagalur,Indian National Congress,Male,Graduate,Law,54,12,0,67,81%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),15.1,0.3,127,76%,10.2,0,156,68%
K. Jayasurya Prakash Reddy,Elected,18-May-09,In office,Andhra Pradesh,Kurnool,Indian National Congress,Male,Graduate,"B.A.; Educated at Nizam College, Hyderabad, Andhra Pradesh",62,0,0,499,56%,"This MP was appointed a minister in Oct, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",28.8,0.6,215,76%,16,0.4,266,68%
K. Murugesan Anandan,Elected,18-May-09,In office,Tamil Nadu,Viluppuram,All India Anna Dravida Munnetra Kazhagam,Male,Under Graduate,"P.U.C.; Attended B.Sc course for three years; Educated at Govt. Arts College, Cuddalore, Tamil Nadu in the year 1971-74",62,22,1,226,91%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
K. P. Dhanapalan,Elected,18-May-09,In office,Kerala,Chalakudy,Indian National Congress,Male,Graduate,"B.Sc. (Chemistry); Educated at U.C. College, Aluva",63,69,0,493,100%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%
K. Sugumar,Elected,18-May-09,In office,Tamil Nadu,Pollachi,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.Com.; Educated at P.S.G. College of Arts & Science, Coimbatore",53,41,0,651,87%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
K.C. Singh Baba,Elected,18-May-09,In office,Uttarakhand,Nainital-Udhamsingh Nagar,Indian National Congress,Male,Inter/ Higher Secondary,"Senior Cambridge; Educated at St. Joseph`s College, Nainital, Uttarakhand",66,19,6,254,59%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,53,4.6,112,79%
K.H. Muniyappa,Elected,18-May-09,In office,Karnataka,Kolar,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Bangalore University (Karnataka) ",65,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
K.V. Thomas,Elected,18-May-09,In office,Kerala,Ernakulam,Indian National Congress,Male,Post Graduate,"M.Sc. (Chemistry); Educated at Scared Heart College, Cochin, Kerala",67,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kabindra Purkayastha,Elected,18-May-09,In office,Assam,Silchar,Bharatiya Janata Party,Male,Post Graduate,"M.A., B.T.; Educated at Gauhati University, Gauhati (Assam) ",82,34,1,130,87%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,22.1,0.5,83,80%
Kabir Suman,Elected,18-May-09,In office,West Bengal,Jadavpur,All India Trinamool Congress,Male,Graduate,"B.A. (Hons.) English Literature; Educated at Jadav University, Kolkata",63,3,0,0,31%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Kadir Rana,Elected,18-May-09,In office,Uttar Pradesh,Muzaffarnagar,Bahujan Samaj Party,Male,Under Matric,,52,1,0,111,57%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Kailash Joshi,Elected,18-May-09,In office,Madhya Pradesh,Bhopal,Bharatiya Janata Party,Male,Matric,,84,4,0,73,84%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%
Kaisar Jahan,Elected,18-May-09,In office,Uttar Pradesh,Sitapur,Bahujan Samaj Party,Female,Under Matric,Privately Educated,44,7,0,33,62%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Kakoli Ghosh Dastidar,Elected,18-May-09,In office,West Bengal,Barasat,All India Trinamool Congress,Female,Post Graduate,"M.B.B.S., Post Graduate Training in Obstetric Ultrasound; Educated at Auxilium Convent, Loreto House, R. G. Kar Medical College, King's College, London",54,25,1,13,67%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Kalikesh Narayan Singh Deo,Elected,18-May-09,In office,Orissa,Bolangir,Biju Janata Dal,Male,Graduate,"B.A. (Hons.) Economics; Educated at St. Stepen`s College, Delhi University",39,19,2,373,70%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%
Kalyan Banerjee,Elected,18-May-09,In office,West Bengal,Serampore,All India Trinamool Congress,Male,Graduate,"B.Com., LL.B; Educated at Bankura Samilani College, Bankura",57,39,0,0,75%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Kalyan Singh,Elected,18-May-09,In office,Uttar Pradesh,Etah,Independent,Male,Graduate,"B.A., L.T.; Educated at D.S. Degree College, Alligarh, Uttar Pradesh",82,1,0,0,50%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Kamal Kishor,Elected,18-May-09,In office,Uttar Pradesh,Bahraich,Indian National Congress,Male,Graduate,B.A.; Indian Armed Forces,57,102,0,250,96%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Kamal Nath,Elected,18-May-09,In office,Madhya Pradesh,Chhindwara,Indian National Congress,Male,Graduate,"B.Com.; Educated at St. Xavier's College, Calcutta, West Bengal",67,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kameshwar Baitha,Elected,18-May-09,In office,Jharkhand,Palamu,Jharkhand Mukti Morcha,Male,Matric,,57,35,0,269,43%,Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,38.8,0.8,251,66%
Kamla Devi Patle,Elected,18-May-09,In office,Chhattisgarh,Janjgir-Champa,Bharatiya Janata Party,Female,Under Graduate,,47,16,0,416,71%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.6,0.5,183,60%
Kamlesh Balmiki,Elected,18-May-09,In office,Uttar Pradesh,Bulandshahr,Samajwadi Party,Male,Under Matric,,61,1,0,4,87%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Kamlesh Paswan,Elected,18-May-09,In office,Uttar Pradesh,Bansgaon,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at St. Pauls School I.C.S.E. Board Gorakhpur and U.P. Board, Gorakhpur",37,20,0,116,80%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Kantilal Bhuria,Elected,18-May-09,In office,Madhya Pradesh,Ratlam,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Chandrashekhar Azad College, Distt. Jhabua, Madhya Pradesh",63,0,0,0,54%,"This MP was a Minister. He tendered his resignation on 12th Jul, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th Jul, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",22,0.4,182,76%,30,0.4,148,82%
Kapil Muni Karwariya,Elected,18-May-09,In office,Uttar Pradesh,Phulpur,Bahujan Samaj Party,Male,Graduate,"B.A., LL.B.; Educated at Allahabad University and Lucknow University",46,26,0,389,80%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Kapil Sibal,Elected,18-May-09,In office,Delhi,Chandni Chowk,Indian National Congress,Male,Post Graduate,"M.A. (History), LL. M.; Educated at St. Stephen`s College, University of Delhi, Delhi and Harward Law School, USA",65,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
