MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Bhushanlal Jangde,Elected,3-Apr-12,In office,First Term,Water Resources ,Chhattisgarh,,Bharatiya Janata Party,Male,Professional Graduate,"B.A.M.S. Educated at Government Ayurveda College, Raipur",73,12,0,212,91%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.5,1.1,272,78%,40.2,0,292,88%
Bimal Jalan,Nominated,27-Aug-03,26/08/2009,First Term,No,,,Independent,Male,Doctorate,"B.A.(Hons.), B.A.(Tripos), M.A., M. Phil.,Ph. D. Educated at Presidency College, Kolkata, University of Cambridge, U.K., University of Oxford, U.K. and University of Bombay, Mumbai",75,3,0,0,87%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),4.3,0.1,25,78%,1.3,0.1,13,72%
Bimla Kashyap Sood,Elected,3-Apr-10,02/04/2016,First Term,Railways ,Himachal Pradesh,,Bharatiya Janata Party,Female,Graduate,"B.A. ; Educated at Punjab University, Shimla",75,44,0,271,90%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.7,1.3,335,78%,62.3,0,281,90%
Birender Singh,Elected,2-Aug-16,In office,Third Term,No,Haryana,,Independent,Male,Professional Graduate,"B.A., LL.B. ; Educated at Government College, Rohtak, Haryana and Department of Law, Chandigarh",70,3,0,38,88%,"This MP was appointed a minister during 16th LS. Previously he was with INC. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bill (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",71.9,1.4,364,78%,35.2,2.3,271,87%
Birendra Prasad Baishya,Elected,10-Apr-08,09/04/2014,First Term,No,Assam,,Asom Gana Parishad,Male,Post Graduate,"B.A. (Hons.), M.A. (Economics) Educated at Gauhati University, Guwahati ",61,78,0,474,89%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),40,1,291,78%,41.2,0.2,234,83%
Bishnu Charan Das,Elected,2-Jul-16,In office,First Term,Rural Development ,Odisha,,Biju Janata Dal,Male,Professional Graduate,"LLB from M.S. Law College, Cuttak in 1984 Utkal University, B.A. from S.V.M. College Jagatsinghpur in 1981 Utkal University",63,1,0,25,51%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10.4,0.2,44,78%,5.4,0,50,77%
Biswajit Daimary,Elected,10-Apr-14,In office,Second Term,Chemicals & Fertilizers,Assam,,Bodoland People's Front,Male,Inter/ Higher Secondary,"Higher Secondary Educated at Kokrajhar College, Kokrajhar ",46,49,0,30,68%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),85.4,1.8,453,78%,73.6,0.6,369,83%
Brij Bhushan Tiwari,Elected,6-Dec-06,04/07/2010,Second Term,No,Uttar Pradesh,,Samajwadi Party,Male,Post Graduate,"B.A., M.A. (Pol. Sc.), LL.B. Educated at Shivpati Inter College, Shohratgarh, St. Andrew's College, Gorakhpur and Allahabad University, Allahabad ",75,31,0,84,89%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10,0.3,77,78%,8.4,0.4,58,82%
Brijesh Pathak,Elected,26-Nov-08,25/11/2014,First Term,No,Uttar Pradesh,,Bahujan Samaj Party,Male,Post Graduate,"B.Com., LL.B., M.A. (I) Composite History Educated at Lucknow University ",52,33,0,0,89%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),46.7,1.1,314,78%,43.1,1.7,230,82%
Brijlal Khabri,Elected,26-Nov-08,25/11/2014,First Term,No,Uttar Pradesh,,Bahujan Samaj Party,Male,Post Graduate,"M.A., LL.B. Educated at Dayanand Vedic Mahavidyalaya, Orai, Distt. Jalaun and Bundelkhand University, Jhansi, Uttar Pradesh ",55,14,0,139,71%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),46.7,1.1,314,78%,43.1,1.7,230,82%
Brinda Karat,Elected,19-Aug-05,18/08/2011,First Term,No,West Bengal,,Communist Party of India (Marxist),Female,Graduate,"Senior Cambridge, B.A. Educated at Welham Girls High School, Dehradun, Loreto House, Kolkata and Miranda House, Delhi University, Delhi ",69,69,3,173,86%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),18.4,0.6,141,78%,29.9,0.4,104,74%
C Rangarajan,Nominated,9-Aug-08,10/08/2009,First Term,No,,,Independent,Male,Doctorate,"B.Com. (Hons.), Ph.D. Educated at Madras University, Chennai and University of Pennsylvania, Philadelphia",85,1,0,0,93%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),4.3,0.1,25,78%,1.3,0.1,13,72%
C.M. Ramesh,Elected,3-Apr-12,In office,Second Term,External Affairs and Finance,Telangana,,Telugu Desam Party,Male,Information not available,Information not available,51,43,0,681,76%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.5,1.1,272,78%,120.9,0.6,481,77%
C.P. Narayanan,Elected,2-Jul-12,In office,First Term,"Science & Technology, Environment & Forests",Kerala,,Communist Party of India (Marxist),Male,Post Graduate,"B.Sc. (Hons.) Mathematics, M.Sc. (Statistics) Educated at University College and Kerala University, Thiruvananthapuram",78,107,0,454,94%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),57.6,1,255,78%,90.6,0.6,353,71%
C.P. Thakur,Elected,10-Apr-14,In office,Second Term,Health and Family Welfare,Bihar,,Bharatiya Janata Party,Male,Post Graduate,"M.B.B.S., M.D., M.R.C.P., F.R.C.P. Educated at Patna Medical College, Patna University, Bihar, Royal College of Physicians, London and Royal College of Physicians, Edinburgh and Royal College of Tropical Medicine and Hygiene, London ",85,35,0,24,82%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),85.4,1.8,453,78%,113.9,0.1,446,80%
Ch. Sukhram Singh Yadav,Elected,5-Jul-16,In office,First Term,"Science & Technology, Environment & Forests",Uttar Pradesh,,Samajwadi Party,Male,Doctorate,"DPA in 1977 from Lucknow University, B.A., M.A., LLB from Lucknow University",61,4,0,106,94%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10.4,0.2,44,78%,12.2,0.1,39,82%
Chandan Mitra,Elected,30-Jun-10,29/06/2016,Second Term,Commerce,Madhya Pradesh,,Bharatiya Janata Party,Male,Doctorate,"B.A. (Hons.) in Economics, M.A.(History), D.Phil. Educated at La Martiniere for Boys, Kolkata, St. Stephen's College, Delhi, Delhi University and Oxford University, U.K.",62,57,0,527,88%,"This MP has been re-elected/nominated. During his previous term, this MP was a nominated representative; the term ended on 26th Aug 2009. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",65,1.2,333,78%,65.8,1.5,425,84%
Chandrapal Singh Yadav,Elected,26-Nov-14,In office,First Term,Industry,Uttar Pradesh,,Samajwadi Party,Male,Post Graduate,"M.Sc., M.A., B.Ed., LL.B.",57,27,0,16,79%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),38.6,0.7,140,78%,48.9,0.3,126,82%
Chhaya Verma,Elected,30-Jun-16,In office,First Term,Social Justice & Empowerment ,Chhattisgarh,,Indian National Congress,Female,Graduate,"B.A. from Takhatpur College, Madhya Pradesh",55,15,0,98,92%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10.4,0.2,44,78%,12.6,0,63,88%
Chiranjeevi Konidala,Elected,3-Apr-12,In office,First Term,"Transport, Tourism and Culture",Andhra Pradesh,,Indian National Congress,Male,Graduate,"B.Com. Educated at YNM College, Narsapur, Distt. West Godavari, Andhra Pradesh",61,1,0,0,39%,"This MP was a minister from Oct, 2012 to May 2014 . Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus not available for the above period. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",61.5,1.1,272,78%,41.3,1.7,350,78%
Chunibhai Kanjibhai Gohel,Elected,10-Apr-14,In office,First Term,External Affairs and Social Justice & Empowerment ,Gujarat,,Bharatiya Janata Party,Male,Under Graduate,"Undergraduate Educated at Somnath College, Veraval, Gujarat",61,17,0,48,91%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),45.4,0.8,163,78%,19.9,1.9,122,79%
D. Kupendra Reddy,Elected,26-Jun-14,In office,First Term,Commerce,Karnataka,,Janata Dal (Secular),Male,Under Graduate,"Under Graduation Educated at V.V. Puram College, Bangalore",56,2,0,359,70%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),45.2,0.8,163,78%,26,0.7,189,70%
D. Raja,Elected,25-Jul-13,In office,Second Term,"Personnel, Public Grievances, Law and Justice",Tamil Nadu,,Communist Party of India,Male,Professional Graduate,"B.Sc., B.Ed. Educated at University of Madras, Chennai and Department of Education, Madras ",67,457,1,1203,91%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),85.4,1.8,453,78%,120.7,1.3,587,75%
D.P. Tripathi,Elected,3-Apr-12,In office,First Term,External Affairs,Maharashtra,,Nationalist Congress Party,Male,Post Graduate,"M.A. (Political Science) Educated at Allahabad University, Allahabad and Jawaharlal Nehru University, New Delhi",64,40,0,302,99%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.5,1.1,272,78%,62.3,3.2,458,76%
Dara Singh,Nominated,27-Aug-03,26/08/2009,First Term,No,,,Bharatiya Janata Party,Male,Others,Self-educated,88,0,0,19,57%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),4.3,0.1,25,78%,1.3,0.1,13,72%
Darshan Singh Yadav,Elected,3-Apr-12,In office,First Term,Agriculture,Uttar Pradesh,,Samajwadi Party,Male,Graduate,"B.Com. Educated at Azad Hind Inter College, Karhal, Mainpuri, A.K. College, Shikohabad and Agra University, Agra",72,18,0,490,92%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.5,1.1,272,78%,71.6,0.8,233,82%
Dasari Narayana Rao,Elected,3-Apr-06,02/04/2012,Second Term,No,Andhra Pradesh,,Indian National Congress,Male,Graduate,"Honorary Doctorate from Andhra University, Visakhapatnam, 1986 ",69,0,0,0,13%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),23.9,0.6,181,78%,27.1,1.3,342,78%
Debabrata Bandyopadhyay,Elected,18-Aug-11,In office,First Term,Rural Development ,West Bengal,,All India Trinamool Congress,Male,Post Graduate,"B.A. (Hons.) Economics, M.A. (Economics) ; Educated at Presidency College, Kolkata and University of Calcutta, Kolkata",85,129,0,86,90%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),67.2,1.2,313,78%,100,2,211,74%
Derek O Brien,Elected,18-Aug-11,In office,First Term,Information Technology and Home Affairs,West Bengal,,All India Trinamool Congress,Male,Graduate,"B.A. ; Educated at Scottish Church College, Kolkata",56,171,0,267,83%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),67.2,1.2,313,78%,100,2,211,74%
Devender T. Goud,Elected,3-Apr-12,In office,First Term,Rural Development ,Andhra Pradesh,,Telugu Desam Party,Male,Graduate,"B.Com. Educated at Badruka College of Commerce, Hyderabad",63,42,0,555,77%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.5,1.1,272,78%,41.3,1.7,350,78%
Dharam Pal Sabharwal,Elected,10-Apr-04,09/04/2010,First Term,No,Punjab,,Indian National Congress,Male,Graduate,"High School, Honours in Hindi (Prabhakar)",76,4,0,90,99%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),8.3,0.2,62,78%,1.9,0,70,80%
Dharmapuri Srinivas,Elected,22-Jun-16,In office,First Term,Urban Development,Telangana,,Telangana Rashtra Samithi,Male,Graduate,"Graduate from Nizam College, Hyderabad",68,1,0,70,85%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10.4,0.2,44,78%,20.1,0.4,93,77%
Dharmendra Pradhan,Elected,3-Apr-12,In office,First Term,No,Bihar,,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Anthropology) Educated at Talcher College, Odisha and Utkal University, Bhubaneswar, Odisha",47,8,0,92,82%,"This MP was appointed a minister in May 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 21st Feb 2014. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",16.1,0.4,110,78%,23.9,0,133,80%
Dhiraj Prasad Sahu,Elected,8-Jul-10,07/07/2016,Second Term,"Food, Consumer Affairs & Public Distribution",Jharkhand,,Indian National Congress,Male,Graduate,"B.A. Educated at Marwari College, Ranchi ",57,4,0,454,75%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),65,1.2,333,78%,36.9,0.2,445,79%
Digvijaya Singh,Elected,10-Apr-14,In office,First Term,Finance,Madhya Pradesh,,Indian National Congress,Male,Professional Graduate,"B.E., (Mechanical); Educated at Daly College and G.S.T.I., Indore",70,66,0,85,85%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),45.4,0.8,163,78%,32.6,0.4,145,84%
Dilip Kumar Tirkey,Elected,4-Apr-12,In office,First Term,Coal & Steel,Odisha,,Biju Janata Dal,Male,Graduate,"B.A. Educated at Mohanpali College, Sundargarh, Odisha",39,113,0,272,73%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.5,1.1,272,78%,68.1,0.7,301,77%
Dilipbhai Shivshankarbhai Pandya,Elected,18-Aug-11,In office,First Term,"Petroleum & Natural Gas and Personnel, Public Grievances, Law and Justice",Gujarat,,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., LL.B. ; Educated at University of Bombay, Mumbai",73,18,2,440,92%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),67.2,1.2,313,78%,41.1,2.7,304,79%
Dola Sen,Elected,17-Mar-15,In office,First Term,Labour ,West Bengal,,All India Trinamool Congress,Female,Graduate,"B.Sc. (Mathematics), Calcutta University",49,22,0,0,49%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),29.1,0.5,112,78%,46.2,1.2,105,74%
E.M. Sudarsana Natchiappan,Elected,30-Jun-10,29/06/2016,Second Term,"Personnel, Public Grievances, Law and Justice",Tamil Nadu,,Indian National Congress,Male,Doctorate,"M.A., B.L. Educated at Thiayagarajar College, Madurai, Madras Law College, Chennai and Madurai Kamaraj University, Madurai",69,108,8,302,97%,"This MP was a minister from Jun 2013 to May 2014.  Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus not available for the above period. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",65,1.2,333,78%,88.2,0.9,450,75%
Ejaz Ali,Elected,20-Mar-08,07/07/2010,First Term,No,Bihar,,Janata Dal (United),Male,Post Graduate,"M.B.B.S., M.S. (General Surgery) Educated at Hazaribagh High School and Patna Medical College and Hospital (Patna University), Patna, Bihar ",58,5,0,8,66%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10,0.3,77,78%,11.5,0,85,80%
G. N. Ratanpuri,Elected,4-Aug-09,15/02/2015,First Term,No,Jammu and Kashmir,,Jammu and Kashmir National Conference,Male,Graduate,"B.Sc. ; Educated at Kashmir University, Srinagar",62,18,0,159,87%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),47.3,1.1,309,78%,22.8,0,81,84%
G. Sanjeeva Reddy,Elected,3-Apr-06,02/04/2012,First Term,No,Andhra Pradesh,,Indian National Congress,Male,Graduate,"Honorary Doctorate from Mahatma Gandhi Kashi Vidyapeeth, Varanasi, 2004",87,2,0,0,74%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),23.9,0.6,181,78%,27.1,1.3,342,78%
G.K. Vasan,Elected,3-Apr-08,02/04/2014,Second Term,No,Tamil Nadu,,Indian National Congress,Male,Graduate,"B.A. (Corporate Secretaryship) Educated at The New College, Madras University, Chennai ",52,0,0,0,N/A,"This MP was a minister till 16 May 2014. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are available from 9th June 2014. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",40,1,291,N/A,52.3,0.7,339,N/A
Ganga Charan,Elected,19-Jun-09,02/04/2012,First Term,No,Uttar Pradesh,,Bahujan Samaj Party,Male,Professional Graduate,"BA, LLB",56,33,0,70,71%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),23.5,0.6,181,78%,20.2,1.3,123,82%
Garikapati Mohan Rao,Elected,10-Apr-14,In office,Second Term,Railways ,Telangana,,Telugu Desam Party,Male,Graduate,"B.Sc. Educated at C.K.M. College, Warangal",69,2,0,59,64%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),45.4,0.8,163,78%,98.4,0.6,305,77%
George Fernandes,Elected,4-Aug-09,07/07/2010,First Term,No,Bihar,,Janata Dal (United),Male,Inter/ Higher Secondary,"S.S.L.C. Educated at St. Aloysius College (High School), Mangalore",86,0,0,0,16%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),6.4,0.2,55,78%,6.7,0,60,80%
Ghulam Nabi Azad,Elected,23-Feb-15,In office,Fifth Term,No,Jammu and Kashmir,,Indian National Congress,Male,Post Graduate,"M.Sc. (Zoology) Educated at Government Degree College Bhadarwah, G.G.M. Science College, Jammu, S.P. College, Srinagar and Kashmir University, Srinagar",68,148,1,0,N/A,"This MP was a minister Till May 2014. Now, as a Leader of Opposition, this MP does not sign the attendance register. Participation details for this MP are available from 7 June 2014. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",45.4,0.8,163,N/A,45.3,0.3,40,N/A
Gireesh Kumar Sanghi,Elected,22-Jun-04,21/06/2010,First Term,No,Andhra Pradesh,,Indian National Congress,Male,Post Graduate,"B.A., M.A (Political Science) Educated at Osmania University, Hyderabad ",62,15,3,200,68%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10,0.3,77,78%,12.8,1.1,166,78%
Gopal Narayan Singh,Elected,8-Jul-16,In office,First Term,Health and Family Welfare,Bihar,,Bharatiya Janata Party,Male,Post Graduate,M.A. (Economics) from Allahabad University,75,0,0,3,79%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10.4,0.2,44,78%,14.7,0,20,80%
Govindrao Wamanrao Adik,Elected,4-Aug-09,02/04/2012,Third Term,No,Maharashtra,,Nationalist Congress Party,Male,Professional Graduate,"BA (Hons), LLB; Educated at Undirgaon, Janata Vidyalaya, Shrirampur and Dnyanmata Vidyalaya, Sangamner, Distt. Ahmednagar, M.E.S. College (now Garware College) and Law College, Pune",77,10,0,308,87%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),20.2,0.5,159,78%,24.6,0.6,251,76%
Gulam Rasool Balyawi,Elected,23-Jun-14,07/07/2016,First Term,Rural Development ,Bihar,,Janata Dal (United),Male,Under Graduate,"Fazilat Educated at Chashma-E-Rahmat Oriental College, Ghazipur, Uttar Pradesh",47,43,0,216,91%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),34.8,0.6,119,78%,45.7,0.1,79,80%
Gundu Sudha Rani,Elected,22-Jun-10,21/06/2016,Second Term,Petroleum & Natural Gas ,Telangana,,Telugu Desam Party,Female,Post Graduate,"M.A. (Public Administration) ; Educated at Madurai Kamaraj University, Madurai",52,66,0,554,68%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),65,1.2,333,78%,105.1,0.2,483,77%
Gyan Prakash Pilania,Elected,10-Apr-08,09/04/2014,Second Term,No,Rajasthan,,Bharatiya Janata Party,Male,Doctorate,"LL.B., M.A. (History), M.A. (Hindi), Ph.D. (History), one year academic higher course in Public Administration, Manchester University, Manchester (U.K.), Sahitya Ratan, Prayag (Allahabad) Educated at Law Faculty, Delhi University, Nagpur University, Bhaga",85,83,0,768,92%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),40,1,291,78%,41.7,0.5,405,84%
H.K. Dua,Nominated,18-Nov-09,17/11/2015,First Term,External Affairs,,,Independent,Male,Post Diploma Course,"B.A., Post Graduate Diploma in Journalism ; Educated at Panjab University Hony. D. Litt. from Kurukshetra University, (Kurukshetra) and Panjab University",79,32,2,86,91%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),57.9,1.2,346,78%,25.4,0.4,100,72%
Haji Abdul Salam,Elected,10-Apr-14,28/02/2017,First Term,Labour ,Manipur,,Indian National Congress,Male,Post Graduate,"M.A. (Political Science), LL.B. Educated at Mayang Imphal High School, Manipur College, Imphal, Guwahati University, Assam and Manipur Law College, Imphal",69,2,0,0,82%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),45,0.7,159,78%,2,0,0,84%
Hans Raj Bhardwaj,Elected,3-Apr-06,29/07/2009,Fifth Term,No,Haryana,,Indian National Congress,Male,Post Graduate,"M.A., LL.B., Doctor of Laws (Honoris Causa) Educated at G.B.C.High School, Rohtak, B.M.College, Shimla, Agra University and Panjab University, Chandigarh",79,0,0,0,100%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),3.3,0.1,19,78%,4.7,0,10,87%
Harivansh,Elected,10-Apr-14,In office,First Term,Defence,Bihar,,Janata Dal (United),Male,Post Graduate,"M.A. (Economics), Diploma in Journalism; Educated at BHU, Varanasi",60,51,0,288,86%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),45.4,0.8,163,78%,60.5,0.1,98,80%
Harshvardhan Singh Dungarpur,Elected,5-Jul-16,In office,First Term,Water Resources ,Rajasthan,,Bharatiya Janata Party,Male,Graduate,B.A. (Hon's) from St. Xavier College (University of Bombay),60,1,0,26,81%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10.4,0.2,44,78%,6,0.1,30,84%
Hema Malini (RS),Elected,3-Mar-11,02/04/2012,Second Term,No,Karnataka,,Bharatiya Janata Party,Female,Matric,"Matric Educated at Andhra Mahila Sabha, Chennai",68,6,0,117,36%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),9.4,0.1,60,78%,5.2,0.1,31,70%
Hemant Soren,Elected,24-Jun-09,04/01/2010,First Term,No,Jharkhand,,Jharkhand Mukti Morcha,Male,Professional Graduate,"Engineering, Birla Institute of Technology, Mesra",41,1,0,0,22%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),6.5,0.2,49,78%,7.2,0.6,49,79%
Hishey Lachungpa,Elected,12-Mar-12,In office,First Term,Water Resources ,Sikkim,,Sikkim Democratic Front,Male,Graduate,Bachelor in Arts,49,4,0,69,50%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),63.3,1.1,284,78%,4,0,69,64%
Husain Dalwai,Elected,26-Jul-11,In office,Second Term,Urban Development,Maharashtra,,Indian National Congress,Male,Post Graduate,"M.A. (Sociology) Educated at United English School, Chiplun, Ratnagiri and Mumbai University Mumbai, Maharashtra",74,177,10,708,90%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),68.2,1.3,324,78%,69.7,3.5,550,76%
Ishwar Singh,Elected,10-Apr-08,09/04/2014,First Term,No,Haryana,,Indian National Congress,Male,Post Graduate,"M.A., LL.B. Educated at Kurukshetra University, Kurukshetra ",66,24,0,263,96%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),40,1,291,78%,28.4,2.3,205,87%
Ishwarlal Shankarlal Jain,Elected,5-Jul-10,04/07/2016,First Term,Petroleum & Natural Gas ,Maharashtra,,Nationalist Congress Party,Male,Inter/ Higher Secondary,"Intermediate (Science) ; Educated at New English School, Jamner and M.J. College, Jalgaon",70,17,0,616,71%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),65,1.2,333,78%,68.4,3,564,76%
Jabir Husain,Elected,3-Apr-06,02/04/2012,First Term,No,Bihar,,Rashtriya Janata Dal,Male,Post Graduate,"B.A. Hons. (Eng.), M.A. (Eng.) Educated under Bihar Secondary Education Board, Patna and Bihar University, Muzaffarpur ",71,1,0,17,97%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),23.9,0.6,181,78%,29.5,0.1,215,80%
Jagat Prakash Nadda,Elected,3-Apr-12,In office,First Term,No,Himachal Pradesh,,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B., Educated at St. Xaviers School, Patna, Patna College, Patna University and Himachal University, Shimla",56,13,0,62,87%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 14th Aug, 2014. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",22.7,0.5,131,78%,21.7,0,75,90%
Jai Prakash,Elected,4-Aug-09,02/04/2012,First Term,No,Uttar Pradesh,,Bahujan Samaj Party,Male,Information not available,,58,0,0,132,62%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),20.2,0.5,159,78%,17.1,1.2,104,82%
Jai Prakash Narayan Singh,Elected,10-Apr-08,09/04/2014,First Term,No,Jharkhand,,Bharatiya Janata Party,Male,Graduate,B.Sc. (Hons.) Educated at Bihar University ,68,50,1,511,86%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),40,1,291,78%,34.9,0.7,386,79%
Jairam Ramesh,Elected,1-Jul-16,In office,Third Term,Health and Family Welfare,Karnataka,,Indian National Congress,Male,Post Graduate,"B.Tech., M.S. and Graduate Study Educated at I.I.T., Bombay, Carnegie Mellon University, U.S.A. and M.I.T., U.S.A.",62,66,0,0,90%,This MP was a minister till 16th May 2014. Participation and attendance details for this MP are available from 7 June 2014. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),75.3,1.4,376,78%,56,1.5,509,70%
Janardan Dwivedi,Elected,28-Jan-12,In office,Third Term,Agriculture,Delhi,,Indian National Congress,Male,Post Graduate,"M.A., M. Litt. Educated at Allahabad University and Delhi University Conferred Honorary Degree of Doctor of Letters (D.Litt.) by the Tilak Maharashtra University, Pune ",71,3,0,0,99%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),85.4,1.8,453,78%,24.8,0,173,94%
Janardhan Waghmare,Elected,3-Apr-08,02/04/2014,First Term,No,Maharashtra,,Nationalist Congress Party,Male,Doctorate,"M.A., LL.M., Ph. D. Educated at Osmania University, Hyderabad, Pune University, Pune and Dr. Babasaheb Ambedkar Marathwada University, Aurangabad ",82,79,3,830,75%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),40,1,291,78%,48.6,1.3,465,76%
Janeshwar Mishra,Elected,3-Apr-06,22/01/2010,Third Term,No,Uttar Pradesh,,Samajwadi Party,Male,Professional Graduate,"B.A., LL.B. Educated at Ballia and Allahabad University",83,4,0,38,98%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),6.9,0.2,49,78%,6.3,0.2,38,82%
Javed Akhtar,Nominated,22-Mar-10,21/03/2016,First Term,Information Technology ,,,Independent,Male,Graduate,BA,72,6,0,0,53%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.7,1.3,335,78%,28.8,0.5,96,72%
Javed Ali Khan,Elected,26-Nov-14,In office,First Term,Energy,Uttar Pradesh,,Samajwadi Party,Male,Post Graduate,"M.A., Diploma in Civil Engineering; Educated at Jamia Milia Islamia, New Delhi and Osmania University, Hyderabad",54,31,0,9,97%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),38.6,0.7,140,78%,48.9,0.3,126,82%
